code,name,definition,source,has_definition,num_synonyms
A00,Cholera,Cholera. An acute diarrheal disease endemic in India and Southeast Asia whose causative agent is VIBRIO CHOLERAE. This condition can lead to severe dehydration in a matter of hours unless quickly treated.,MSH,True,4
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae","Classical cholera; Cholera due to Vibrio cholerae 01, biovar cholerae. An acute diarrheal disease endemic in India and Southeast Asia whose causative agent is VIBRIO CHOLERAE. This condition can lead to severe dehydration in a matter of hours unless quickly treated.",MSH,True,5
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor; Cholera eltor",ICD10_XML,False,5
A00.9,"Cholera, unspecified","Cholera, unspecified. An acute diarrheal disease endemic in India and Southeast Asia whose causative agent is VIBRIO CHOLERAE. This condition can lead to severe dehydration in a matter of hours unless quickly treated.",MSH,True,4
A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,ICD10_XML,False,4
A01.0,Typhoid fever,"Typhoid fever; Infection due to Salmonella typhi. An acute systemic febrile infection caused by SALMONELLA TYPHI, a serotype of SALMONELLA ENTERICA.",MSH,True,5
A01.1,Paratyphoid fever A,"Paratyphoid fever A. Paratyphoid fever that is caused by infection with Salmonella enterica, serovar Paratyphi A.",NCI,True,4
A01.2,Paratyphoid fever B,"Paratyphoid fever B. Paratyphoid fever that is caused by infection with Salmonella enterica, serovar Paratyphi B.",NCI,True,4
A01.3,Paratyphoid fever C,"Paratyphoid fever C. Paratyphoid fever that is caused by infection with Salmonella enterica, serovar Paratyphi C.",NCI,True,4
A01.4,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified; Infection due to Salmonella paratyphi NOS. A prolonged febrile illness commonly caused by several Paratyphi serotypes of SALMONELLA ENTERICA. It is similar to TYPHOID FEVER but less severe.",MSH,True,5
A02,Other salmonella infections,Other salmonella infections; infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,ICD10_XML,False,5
A02.0,Salmonella enteritis,"Salmonellosis; Salmonella enteritis. Poisoning caused by ingestion of food harboring species of SALMONELLA. Conditions of raising, shipping, slaughtering, and marketing of domestic animals contribute to the spread of this bacterium in the food supply.",MSH,True,5
A02.1,Salmonella sepsis,Salmonella sepsis; Salmonella septicaemia. Sepsis due to the presence of Salmonella bacteria in the bloodstream.,NCI,True,4
A02.2,Localized salmonella infections,Localized salmonella infections; Localised salmonella infections,ICD10_XML,False,4
A02.8,Other specified salmonella infections,Other specified salmonella infections,ICD10_XML,False,4
A02.9,"Salmonella infection, unspecified","Salmonella infection, unspecified. Infections with bacteria of the genus SALMONELLA.",MSH,True,4
A03,Shigellosis,Shigellosis. An intestinal disease cause by Shigella bacteria.,NCI,True,4
A03.0,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae; Group A shigellosis [Shiga-Kruse dysentery],ICD10_XML,False,5
A03.1,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri; Group B shigellosis,ICD10_XML,False,5
A03.2,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii; Group C shigellosis,ICD10_XML,False,5
A03.3,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei; Group D shigellosis,ICD10_XML,False,5
A03.8,Other shigellosis,Other shigellosis,ICD10_XML,False,4
A03.9,"Shigellosis, unspecified","Shigellosis, unspecified; Bacillary dysentery NOS. DYSENTERY caused by gram-negative rod-shaped enteric bacteria (ENTEROBACTERIACEAE), most often by the genus SHIGELLA. Shigella dysentery, Shigellosis, is classified into subgroups according to syndrome severity and the infectious species. Group A: SHIGELLA DYSENTERIAE (severest); Group B: SHIGELLA FLEXNERI; Group C: SHIGELLA BOYDII; and Group D: SHIGELLA SONNEI (mildest).",MSH,True,5
A04,Other bacterial intestinal infections,Other bacterial intestinal infections,ICD10_XML,False,4
A04.0,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,ICD10_XML,False,4
A04.1,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,ICD10_XML,False,4
A04.2,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,ICD10_XML,False,4
A04.3,Enterohaemorrhagic Escherichia coli infection,Enterohemorrhagic Escherichia coli infection; Enterohaemorrhagic Escherichia coli infection,ICD10_XML,False,4
A04.4,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections; Escherichia coli enteritis NOS,ICD10_XML,False,5
A04.5,Campylobacter enteritis,"Campylobacter enteritis. A gastrointestinal infection attributed to the bacteria campylobacter. It is usually contracted by consuming raw or undercooked poultry or consuming a food that has been in contact with raw poultry. It is characterized by abdominal pain, fever, and diarrhea and usually resolves in two to five days.",NCI,True,4
A04.6,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,ICD10_XML,False,4
A04.7,Enterocolitis due to Clostridium difficile,"Clostridioides difficile colitis; Enterocolitis due to Clostridium difficile; Pseudomembraneous colitis; Foodborne intoxication by Clostridium difficile. A bacterial infection of the colon secondary to infection with Clostridium difficile bacteria. This infection generally results from the loss of normal gut flora secondary to recent antibiotic use, and manifests as copious watery stools, with associated abdominal pain and myalgia. C. difficile is the most common cause of pseudomembranous colitis, and can progress to toxic megacolon if left untreated.",NCI,True,7
A04.8,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,ICD10_XML,False,4
A04.9,"Bacterial intestinal infection, unspecified","Bacterial enteritis NOS; Bacterial intestinal infection, unspecified",ICD10_XML,False,5
A05,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications; Other bacterial foodborne intoxications, not elsewhere classified; Oth bacterial foodborne intoxications, NEC",ICD10_XML,False,4
A05.0,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication. Poisoning by staphylococcal toxins present in contaminated food.,MSH,True,4
A05.1,Botulism,"Botulism; Botulism NOS; Botulism food poisoning; Classical foodborne intoxication due to Clostridium botulinum. A disease caused by potent protein NEUROTOXINS produced by CLOSTRIDIUM BOTULINUM which interfere with the presynaptic release of ACETYLCHOLINE at the NEUROMUSCULAR JUNCTION. Clinical features include abdominal pain, vomiting, acute PARALYSIS (including respiratory paralysis), blurred vision, and DIPLOPIA. Botulism may be classified into several subtypes (e.g., food-borne, infant, wound, and others). (From Adams et al., Principles of Neurology, 6th ed, p1208)",MSH,True,6
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Enteritis necroticans; Pig-bel; Foodborne Clostridium perfringens [Clostridium welchii] intoxication; Foodborne Clostridium perfringens intoxication,ICD10_XML,False,6
A05.3,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,ICD10_XML,False,4
A05.4,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,ICD10_XML,False,4
A05.8,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,ICD10_XML,False,4
A05.9,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",ICD10_XML,False,4
A06,Amoebiasis,"Amebiasis; Amoebiasis; infection due to Entamoeba histolytica. Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.",MSH,True,5
A06.0,Acute amoebic dysentery,Acute amebiasis; Acute amebic dysentery; Acute amoebic dysentery; Intestinal amebiasis NOS,ICD10_XML,False,6
A06.1,Chronic intestinal amoebiasis,Chronic intestinal amebiasis; Chronic intestinal amoebiasis,ICD10_XML,False,4
A06.2,Amoebic nondysenteric colitis,Amebic nondysenteric colitis; Amoebic nondysenteric colitis,ICD10_XML,False,4
A06.3,Amoeboma of intestine,Ameboma NOS; Ameboma of intestine; Amoeboma of intestine,ICD10_XML,False,5
A06.4,Amoebic liver abscess,Amebic liver abscess; Amoebic liver abscess; Hepatic amebiasis. Single or multiple areas of PUS due to infection by any ameboid protozoa (AMEBIASIS). A common form is caused by the ingestion of ENTAMOEBA HISTOLYTICA.,MSH,True,5
A06.5,Amoebic lung abscess,Amebic lung abscess; Amoebic lung abscess; Amebic abscess of lung (and liver),ICD10_XML,False,5
A06.6,Amoebic brain abscess,Amebic brain abscess; Amoebic brain abscess; Amebic abscess of brain (and liver) (and lung),ICD10_XML,False,5
A06.7,Cutaneous amoebiasis,Cutaneous amebiasis; Cutaneous amoebiasis,ICD10_XML,False,4
A06.8,Amoebic infection of other sites,Amebic infection of other sites; Amoebic infection of other sites,ICD10_XML,False,4
A06.9,"Amoebiasis, unspecified","Amebiasis, unspecified; Amoebiasis, unspecified. Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.",MSH,True,4
A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,ICD10_XML,False,4
A07.0,Balantidiasis,Balantidiasis; Balantidial dysentery. Infection by parasites of the genus BALANTIDIUM. The presence of Balantidium in the LARGE INTESTINE leads to DIARRHEA; DYSENTERY; and occasionally ULCER.,MSH,True,5
A07.1,Giardiasis [lambliasis],Giardiasis [lambliasis]. An infection of the SMALL INTESTINE caused by the flagellated protozoan GIARDIA. It is spread via contaminated food and water and by direct person-to-person contact.,MSH,True,4
A07.2,Cryptosporidiosis,Cryptosporidiosis. Intestinal infection with organisms of the genus CRYPTOSPORIDIUM. It occurs in both animals and humans. Symptoms include severe DIARRHEA.,MSH,True,4
A07.3,Isosporiasis,"Isosporiasis; Isosporosis; Intestinal coccidiosis; Infection due to Isospora belli and Isospora hominis. Infection with parasitic protozoa of the genus ISOSPORA, producing intestinal disease. It is caused by ingestion of oocysts and can produce tissue cysts.",MSH,True,7
A07.8,Other specified protozoal intestinal diseases,"Sarcocystosis; Sarcosporidiosis; Other specified protozoal intestinal diseases; Intestinal microsporidiosis; Intestinal trichomoniasis. Infection of the striated muscle of mammals by parasites of the genus SARCOCYSTIS. Disease symptoms such as vomiting, diarrhea, muscle weakness, and paralysis are produced by sarcocystin, a toxin produced by the organism.",MSH,True,8
A07.9,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified; Protozoal colitis; Protozoal dysentery; Protozoal diarrhea; Flagellate diarrhea",ICD10_XML,False,8
A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections,ICD10_XML,False,4
A08.0,Rotaviral enteritis,Rotaviral enteritis. Enteritis attributed to the rotavirus.,NCI,True,4
A08.1,Acute gastroenteropathy due to Norovirus,Acute gastroenteropathy due to Norwalk agent; Acute gastroenteropathy due to Norwalk agent and other small round viruses; Acute gastrent d/t Norwalk agent and oth small round viruses,ICD10_XML,False,4
A08.2,Adenoviral enteritis,Adenoviral enteritis,ICD10_XML,False,4
A08.3,Other viral enteritis,Other viral enteritis,ICD10_XML,False,4
A08.4,"Viral intestinal infection, unspecified","Viral enteritis NOS; Viral gastroenteritis NOS; Viral intestinal infection, unspecified; Viral gastroenteropathy NOS. Gastroenteritis resulting from a viral infection.",NCI,True,7
A08.5,Other specified intestinal infections,Other specified intestinal infections,ICD10_XML,False,2
A09,Other gastroenteritis and colitis of infectious and unspecified origin,"Infectious enteritis NOS; Infectious colitis NOS; Infectious gastroenteritis NOS; Diarrhoea and gastroenteritis of presumed infectious origin; Infectious gastroenteritis and colitis, unspecified. A viral or bacterial infectious process affecting the large intestine.",NCI,True,7
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Other and unspecified gastroenteritis and colitis of infectious origin,ICD10_XML,False,0
A09.9,Gastroenteritis and colitis of unspecified origin,Gastroenteritis and colitis of unspecified origin,ICD10_XML,False,0
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis; Respiratory tuberculosis, bacteriologically and histologically confirmed. MYCOBACTERIUM infections of the lung.",MSH,True,4
